timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685389684464,9,Dogs,200,OK,Thread Group 1-6,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,9,0,0
1685389684531,2,Sign In,200,OK,Thread Group 1-19,text,true,,3923,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
1685389684585,5,Login,200,OK,Thread Group 1-10,text,true,,5262,1609,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1685389684585,3,Login-0,302,Found,Thread Group 1-10,,true,,193,932,25,25,http://localhost:8080/jpetstore/actions/Account.action,3,0,0
1685389684588,2,Login-1,200,OK,Thread Group 1-10,text,true,,5069,677,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389684662,2,Main Catalog,200,OK,Thread Group 1-23,text,true,,4832,460,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389684778,1,Dogs,200,OK,Thread Group 1-7,text,true,,4296,248,25,25,http://localhost:8080/jpetstore/actions/Catalog.action?viewCategory=&categoryId=DOGS,1,0,0
1685389684875,3,Sign Out,200,OK,Thread Group 1-3,text,true,,5255,1059,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1685389684875,1,Sign Out-0,302,Found,Thread Group 1-3,,true,,333,534,25,25,http://localhost:8080/jpetstore/actions/Account.action?signoff=,1,0,0
1685389684876,2,Sign Out-1,200,OK,Thread Group 1-3,text,true,,4922,525,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1685389684911,2,Sign In,200,OK,Thread Group 1-20,text,true,,3925,597,25,25,http://localhost:8080/jpetstore/actions/Account.action;jsessionid=eZT9Oyxa_z0Fj1az7DqcMse-bf8q3trFXb1K1bf7.ppss-vb?signonForm=,2,0,0
